SMILES,148_KAG,290_KBA,178_KAA,154_KAN,212_KAL,342_KAI,104_KAF,260_KAF,140_KAC,168_KAK,314_KAF,340_KAH,22_KAI,156_KAE,80_KAD,92_KAM,222_KAV,210_KAF,216_KAA,204_KAM,296_KAW,220_KAH,286_KAM,200_KAR,134_KAC,216_KAN,134_KAH,322_KAK,72_KAI,182_KAD,304_KAQ,140_KAD,268_KAL,192_KAO,284_KAJ,310_KAQ,58_KAF,8_KAI,34_KAS,56_KAS,22_KAJ
O=C1CC[C@]2(CCCN(C(=O)c3ccoc3)C2)CN1CCc1c[nH]cn1,-8.0,-7.4,-6.0,-6.0,-6.8,-7.4,-7.4,-6.9,-6.3,-6.6,-6.7,-6.5,-6.9,-6.6,-6.4,-6.6,-6.6,-7.5,-7.6,-5.0,-7.9,-6.3,-6.2,-5.9,-6.4,-6.8,-7.6,-6.2,-7.1,-7.5,-6.8,-6.3,-7.2,-7.6,-6.4,-6.8,-7.6,-6.9,-6.3,-6.9,-7.0
N(C)(CCc1ccc(c(c1)OC)OC)Cc1c(ccc2ccccc12)O,-7.5,-6.6,-5.5,-5.2,-6.7,-4.9,-7.8,-5.9,-4.8,-5.5,-6.1,-5.8,-7.1,-5.8,-5.0,-5.4,-6.4,-7.5,-6.6,-4.8,-6.7,-5.1,-5.4,-6.3,-6.7,-6.8,-7.1,-4.6,-6.5,-6.8,-6.8,-5.3,-7.0,-7.4,-5.0,-7.1,-6.8,-5.8,-5.1,-6.5,-6.2
c1(c(cc2c(c1O)c(=O)c1c(ccc(c1n2C)O)CC=C(C)C)O)CC=C(C)C,-8.9,-7.9,-7.4,-6.3,-6.8,-6.8,-8.5,-7.5,-6.8,-6.8,-7.4,-7.4,-8.3,-7.4,-6.9,-6.8,-7.6,-9.3,-8.4,-5.7,-8.7,-6.6,-7.0,-7.5,-7.6,-7.7,-8.3,-6.9,-8.0,-7.8,-8.1,-7.4,-7.7,-9.9,-7.0,-7.9,-8.4,-7.6,-7.2,-7.5,-8.2
c1(cc(c2c(=O)cc(oc2c1c1ccnn1C)c1ccc(F)c(F)c1)OC)OC,-8.3,-7.7,-6.4,-6.2,-6.6,-6.3,-8.0,-7.5,-6.5,-6.4,-7.1,-7.0,-7.7,-6.7,-6.6,-6.9,-7.1,-9.0,-8.1,-5.6,-8.1,-6.8,-6.5,-7.1,-6.7,-7.3,-7.9,-6.3,-8.0,-7.6,-7.5,-6.5,-7.3,-8.8,-6.6,-6.7,-7.6,-7.4,-6.2,-7.1,-7.6
Cc1cnc(NC(=O)/C=C/c2ccc(Br)o2)s1,-6.8,-5.8,-5.3,-5.0,-5.6,-5.8,-6.2,-5.5,-5.4,-5.3,-5.7,-5.5,-5.7,-5.7,-5.2,-5.1,-5.5,-6.8,-6.3,-4.3,-6.8,-5.2,-5.0,-5.6,-5.4,-5.8,-6.0,-4.9,-5.5,-5.9,-5.6,-5.8,-5.4,-7.0,-4.8,-6.7,-5.6,-6.5,-5.2,-5.5,-6.2
C(C(=O)Nc1ccc(Cl)cn1)OC(=O)Cc1ccccc1F,-7.2,-6.7,-6.6,-5.7,-6.1,-6.2,-6.7,-6.2,-6.0,-5.9,-5.8,-5.9,-6.2,-6.0,-5.5,-5.5,-6.1,-7.5,-7.1,-4.5,-7.2,-5.8,-5.6,-6.4,-6.1,-6.5,-6.5,-5.1,-6.1,-6.5,-6.2,-6.0,-6.4,-7.7,-5.1,-6.8,-6.2,-6.7,-5.6,-6.8,-6.1
[C@H]1(Cc2c(n(C)c3ncc(C)cc23)CN1)C(=O)OC,-6.9,-6.9,-5.6,-5.8,-6.2,-5.9,-6.7,-5.9,-6.1,-5.4,-5.9,-5.7,-6.4,-6.1,-5.7,-5.5,-6.0,-7.4,-6.8,-5.1,-7.3,-5.9,-5.4,-6.4,-6.0,-6.0,-6.8,-5.2,-6.4,-6.5,-6.3,-6.6,-6.0,-7.7,-5.5,-6.8,-6.4,-6.4,-5.7,-6.3,-6.8
N1(C(=O)c2ccccc2N[C@H]1C(C)C)CC(=O)Nc1nc(C)c(s1)C,-8.1,-7.9,-6.3,-6.3,-6.2,-5.9,-8.3,-7.0,-7.0,-6.6,-6.7,-6.3,-7.6,-6.4,-6.0,-6.4,-6.6,-8.3,-7.7,-5.4,-8.1,-6.1,-6.4,-6.2,-6.8,-7.1,-7.4,-6.3,-7.1,-7.5,-6.9,-6.4,-7.6,-8.7,-6.7,-8.3,-7.3,-6.9,-6.6,-7.2,-7.6
Cc1cc(=O)oc2cc(ccc12)NC(=O)c1cccc(Br)c1,-8.1,-7.3,-6.6,-6.7,-7.2,-7.5,-7.7,-6.8,-6.5,-7.0,-6.9,-7.1,-7.3,-7.2,-6.2,-6.7,-6.9,-9.0,-8.4,-5.8,-8.6,-6.5,-6.7,-8.2,-7.1,-7.6,-7.7,-6.4,-7.0,-7.7,-7.2,-6.4,-7.3,-9.2,-6.2,-7.7,-7.3,-7.2,-6.7,-7.1,-7.1
c1(cc(F)c(c(F)c1)N1C[C@@H]2[C@@H](C1)[C@@H]2C(=O)Nc1ccc2c(c1)OCO2)N1C[C@H](OC1=O)CNC(=O)C,-8.4,-8.0,-6.7,-6.9,-7.4,-7.4,-8.3,-7.6,-7.5,-7.5,-8.1,-7.3,-7.2,-7.1,-6.7,-6.7,-7.3,-8.7,-9.0,-6.3,-9.5,-6.2,-7.5,-7.2,-7.9,-7.9,-8.3,-7.2,-8.4,-8.5,-7.4,-6.8,-7.4,-9.6,-7.8,-8.4,-8.0,-7.4,-6.9,-7.9,-7.8
