SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
n1(cc(c(Nc2ccc(F)cc2)n1)C(=N)O)[C@H]1[C@H](CNCC1)C#N,-5.1,-6.6,-6.9,-5.9,-6.1,-7.6,-6.1,-5.7,-6.8,-7.7,-5.8,-7.1,-7.2,-7.1,-6.9,-6.9,-7.2,-6.1,-7.3,-6.4,-5.8,-7.4,-6.6,-6.9,-6.7,-6.1,-7.6,-6.2,-6.0,-7.8,-6.8,-6.3,-7.4,-6.0,-6.8,-6.7,-6.2,-6.6,-7.0,-7.2,-7.3
c1(nc(no1)c1ccc(C)nn1)[C@H](C)SCC,-4.1,-5.3,-5.3,-4.6,-5.0,-6.2,-4.6,-4.8,-5.1,-6.5,-5.0,-5.8,-5.9,-5.3,-5.3,-5.2,-5.6,-4.7,-6.3,-4.8,-5.4,-5.2,-5.4,-5.1,-5.7,-5.7,-5.5,-5.5,-4.7,-5.6,-5.3,-4.4,-5.9,-4.9,-5.2,-5.2,-5.1,-4.9,-5.6,-5.2,-5.8
[C@H]1(CCN(CC1)c1ccc2ccccc2n1)Oc1c(N2CCC(=O)CC2)nccn1,-5.7,-7.9,-8.2,-6.5,-6.6,-9.6,-7.4,-7.5,-8.1,-9.8,-6.6,-8.2,-8.3,-8.0,-7.7,-7.5,-8.0,-7.0,-9.6,-8.0,-7.9,-7.7,-8.3,-7.8,-7.7,-7.6,-8.7,-7.6,-7.5,-9.0,-8.1,-7.2,-9.1,-7.7,-8.2,-7.5,-6.6,-7.2,-8.4,-7.1,-9.4
c1(ccnc(N[C@H]2CC[C@@H](CC2)N)n1)c1c(C)[nH]c2ncccc12,-5.5,-7.3,-7.5,-6.9,-6.3,-8.3,-6.8,-7.3,-6.9,-8.4,-6.5,-8.5,-7.8,-7.4,-7.0,-7.0,-7.7,-6.6,-8.9,-6.7,-6.6,-7.2,-7.1,-7.6,-7.2,-7.0,-8.1,-6.7,-6.5,-7.3,-7.2,-6.6,-8.4,-7.1,-7.3,-6.8,-7.2,-6.9,-7.1,-6.7,-8.1
n1(c2ncccc2c2ncc(C)n2c2ccc(nc12)OC)CC,-5.6,-6.1,-6.8,-5.8,-5.7,-7.2,-5.8,-5.9,-6.2,-8.1,-5.6,-5.5,-6.6,-6.5,-6.9,-5.5,-7.2,-5.7,-7.6,-5.6,-6.4,-6.7,-6.4,-6.7,-6.4,-5.6,-7.5,-6.3,-5.6,-7.5,-6.5,-5.8,-7.7,-6.4,-6.3,-6.3,-5.9,-6.5,-6.6,-6.1,-7.0
N(C(=O)CCCNC(=O)c1ccc(Cl)cc1)c1ccc(cc1)C(=O)N,-5.6,-7.3,-6.9,-5.8,-7.6,-8.0,-5.9,-7.3,-7.1,-8.1,-6.6,-7.5,-7.5,-7.3,-7.3,-6.2,-7.1,-6.3,-8.1,-6.5,-6.0,-6.6,-7.2,-6.7,-7.6,-6.7,-7.1,-6.8,-5.7,-7.1,-7.2,-5.8,-7.6,-6.1,-6.8,-6.4,-6.4,-6.5,-7.4,-7.1,-7.4
Cc1cc2c(cccc2c(n1)c1ccc(c(c1)N)C(=O)N)n1cnc(c1)c1cnn(C)c1,-5.6,-7.2,-8.4,-6.8,-7.1,-9.8,-8.3,-7.9,-7.5,-9.3,-7.6,-7.8,-8.5,-8.2,-8.1,-5.7,-8.5,-6.9,-9.0,-7.3,-7.0,-8.4,-8.3,-8.5,-7.1,-7.2,-8.5,-7.5,-7.3,-9.0,-8.2,-7.2,-8.8,-7.9,-8.5,-8.2,-7.5,-7.6,-8.2,-7.5,-9.6
C1(=CCCOc2ccccc12)c1ccc(cc1)O,-5.9,-6.0,-6.6,-5.9,-6.9,-7.7,-6.5,-6.3,-5.9,-7.9,-5.6,-7.1,-7.5,-6.9,-6.7,-5.7,-7.5,-5.7,-8.0,-6.1,-6.6,-6.8,-6.3,-6.6,-6.1,-6.0,-7.0,-6.2,-6.1,-6.9,-6.6,-5.3,-8.0,-6.5,-6.1,-6.5,-6.2,-5.7,-6.1,-6.5,-7.8
CC1(C)C[C@@](c2cc(ccc2O1)N(=O)=O)(O)CC(=O)O,-5.0,-5.8,-6.6,-5.4,-5.9,-7.1,-5.7,-5.6,-6.1,-7.6,-5.5,-6.4,-6.6,-5.6,-6.5,-5.1,-6.8,-5.4,-7.0,-5.4,-6.7,-6.5,-6.3,-5.9,-6.3,-5.4,-6.8,-5.7,-5.4,-6.3,-6.2,-5.2,-7.2,-5.7,-5.8,-6.1,-5.7,-5.5,-6.4,-6.4,-7.0
c1(ccn2c(c(nc2c1)c1ccc(cc1)C1(CCC1)N)c1ccccc1)NC(=O)NC,-5.6,-7.7,-8.3,-7.0,-6.9,-9.6,-7.1,-7.9,-7.6,-10.1,-7.3,-8.7,-9.1,-8.1,-7.9,-6.4,-8.6,-7.0,-9.3,-7.0,-6.8,-8.0,-8.5,-8.4,-7.4,-6.6,-8.1,-6.7,-7.1,-7.8,-7.5,-7.2,-9.7,-7.0,-8.3,-8.3,-6.7,-7.5,-7.5,-7.9,-8.5
O(c1ccc2c(c1)CC[C@@H]2[C@H](C)C(=O)O)CCc1c(C)oc(n1)c1ccccc1,-5.7,-7.9,-7.5,-6.2,-6.4,-9.1,-6.7,-7.5,-7.5,-8.7,-7.0,-7.9,-8.4,-7.6,-7.6,-6.6,-7.9,-6.6,-8.8,-7.2,-7.9,-7.4,-7.7,-7.1,-7.9,-6.7,-8.0,-6.8,-7.2,-7.8,-7.9,-6.2,-8.4,-7.3,-7.5,-7.3,-7.5,-6.7,-8.3,-7.3,-8.0
C[C@@]12CC[C@H]([C@]3(C)C4=CC(=O)OC[C@]54O[C@H]5[C@@H](OC1=O)[C@@H]23)O,-5.2,-6.3,-7.7,-6.1,-6.5,-7.9,-6.5,-6.0,-7.3,-8.2,-6.0,-6.0,-7.5,-7.1,-8.0,-5.9,-7.4,-5.7,-7.6,-6.6,-6.8,-7.6,-7.0,-7.2,-6.7,-4.7,-7.7,-6.2,-6.2,-8.0,-6.7,-6.2,-8.2,-6.6,-7.0,-6.5,-5.8,-6.3,-6.8,-6.9,-8.0
c1(ccc(cc1)Nc1cc(=O)oc2ccccc12)c1cc(nc(n1)N)c1ccc(C)cc1,-6.4,-9.2,-9.3,-7.7,-7.7,-10.7,-8.0,-8.6,-9.0,-11.6,-8.1,-9.7,-9.4,-9.4,-9.2,-8.8,-9.4,-8.3,-11.0,-8.1,-8.2,-8.9,-9.4,-9.2,-9.0,-8.5,-10.1,-8.0,-8.3,-9.7,-9.1,-7.9,-9.9,-8.6,-8.9,-9.0,-8.8,-8.5,-9.5,-7.8,-10.2
c1(cc(cc(c1)/C=C\c1ccc(cc1)O)O)O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)CO,-6.3,-7.7,-7.7,-6.7,-6.6,-8.7,-6.6,-7.2,-7.1,-8.8,-6.8,-8.3,-8.7,-7.3,-7.6,-7.2,-7.8,-6.6,-8.3,-7.1,-7.1,-7.5,-8.0,-7.7,-7.3,-7.4,-7.7,-6.9,-6.9,-8.4,-8.0,-6.8,-8.6,-7.1,-7.3,-7.0,-6.8,-7.5,-7.3,-7.6,-8.2
